Sample_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,
ACH-000535,BxPC-3,BXPC3,BXPC3_PANCREAS,,906693,Female,ATCC,2,-4.19943710954329,Adherent,RPMI + 10% FBS,81.6,CVCL_0186,1978,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",61,SIDM00132,,pancreas,exocrine,exocrine_adenocarcinoma,,
ACH-001402,SW756,SW756,SW756_CERVIX,,724839,Female,ATCC,2,-3.69012533344046,Adherent,L-15 + 10% FBS,90.7,CVCL_1727,1984,cervix,Primary,Cervical Cancer,Squamous Cell Carcinoma,46,SIDM01174,,cervix,cervical_squamous,,,
ACH-000862,KMBC-2,KMBC2,KMBC2_URINARY_TRACT,,,Unknown,HSRRB,2,-3.87992514123032,,DMEM + 10% FBS,70.6,CVCL_2977,,urinary_tract,Primary,Bladder Cancer,Carcinoma,,,,urinary_tract,bladder_carcinoma,,,
ACH-000545,VM-CUB1,VMCUB1,VMCUB1_URINARY_TRACT,,909780,Male,DSMZ,2,-3.97797582116603,Adherent,DMEM + 10% FBS,67.2,CVCL_1786,276,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,,SIDM00414,,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,
ACH-000851,MOR/CPR,MORCPR,MORCPR_LUNG,,,Unknown,ECACC,3,-3.57037630552406,Suspension,RPMI + 10% FBS,77.4,CVCL_2620,,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,,,lung,NSCLC,NSCLC_adenocarcinoma,,
ACH-000485,GSU,GSU,GSU_STOMACH,,,Male,RIKEN,2,-3.37323593514211,,RPMI + 10% FBS,84.7,CVCL_8877,,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,37,,,gastric,gastric_adenocarcinoma,,,
ACH-002459,HT144 SKIN FV3,HT144SKINFV3,HT144_SKIN_FV3_RESISTANT,HT144_Dab_Tram,,Male,Academic lab,2,-3.12349228778902,Adherent,RPMI 1640 + 10% FBS + PenStrepGlut,85.8,,,skin,,Skin Cancer,Melanoma,29,,Drug resistance: Dabrafenib and Trametinib,skin,melanoma,,,
ACH-001511,H413,H413,H413_UPPER_AERODIGESTIVE_TRACT,,,Female,Sigma-Aldrich,2,-4.46296650955805,Adherent,DMEM:HAMS F12 (1:1 mix) + 10%FBS + 2mM Glutamine + 0.5 ug/ml sodium hydrocortisone succinate,91.4,,,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, buccal mucosa",53,,,upper_aerodigestive,upper_aerodigestive_squamous,buccal_mucosa,,
ACH-001151,OVCAR-5,OVCAR5,OVCAR5_OVARY,,905969,Female,Academic lab,2,-6.34908972437393,Adherent,RPMI + 5% FBS,83.5,CVCL_1628,1858,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00091,,ovary,ovary_adenocarcinoma,high_grade_serous,,
ACH-001433,CCLF_PEDS_0008_T,CCLFPEDS0008T,CCLFPEDS0008T_SOFT_TISSUE,,,Unknown,Cancer Cell Line Factory,2,-3.6018109345124,Adherent,"SMBM: 95.0% + Fungizone 500.0 ng/mL, Pen Strep 1.0 %, Gentamicin 20.0 ug/mL, SMGM-2 Single Quots 5.0 %",44.8,,,soft_tissue,Metastasis,Sarcoma,Epithelioid,,,,soft_tissue,epithelioid_sarcoma,,,
ACH-000468,PK-45H,PK45H,PK45H_PANCREAS,,,Unknown,RIKEN,3,-3.51786665291669,Adherent,RPMI + 10% FBS,84.1,CVCL_6748,,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",,,,pancreas,exocrine,exocrine_adenocarcinoma,,
